Year,Total_Fires,Total_Extinguish,Average_Extinguish_Time
1992,12230,13863.0,1.1335241210139002
1993,7539,9581.0,1.2708582040058363
1994,16204,27298.0,1.684645766477413
1995,8075,9859.0,1.2209287925696595
1996,12634,19145.0,1.515355390216875
1997,8447,12234.0,1.4483248490588374
1998,10880,13317.0,1.2239889705882352
1999,11797,17038.0,1.444265491226583
2000,16547,35839.0,2.165891098084245
2001,13825,18742.0,1.3556600361663653
2002,12465,22554.0,1.8093862815884476
2003,13828,36447.0,2.635739080127278
2004,11726,22761.0,1.9410711239979532
2005,11103,33271.0,2.9965775015761507
2006,16949,37754.0,2.227506047554428
2007,12711,38098.0,2.9972464794272677
2008,9904,30651.0,3.0948101777059773
2009,10449,43478.0,4.160972341850895
2010,8983,31472.0,3.503506623622398
2011,12538,31852.0,2.5404370713032383
2012,11130,32570.0,2.926325247079964
2013,10154,35793.0,3.525014772503447
2014,8538,46527.0,5.449402670414617
2015,9812,45021.0,4.5883611903791275
