index_1,index,FIRE_YEAR,Fire_Date,DISCOVERY_TIME,STAT_CAUSE_DESCR,Days_to_extinguish_fire,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,FIPS_CODE,FIPS_NAME,Year
81,188,2005,2005-06-21,1400.0,Lightning,8.0,1800.0,16100.0,G,33.72333333,-111.275,AZ,7.0,Gila,2005
779,1505,2005,2005-05-29,1505.0,Lightning,92.0,1159.0,11936.0,G,33.61333333,-108.55888889,NM,3.0,Catron,2005
817,1588,2005,2005-07-07,600.0,Lightning,9.0,2000.0,11357.0,G,38.16972222,-105.03805556,CO,,,2005
2171,4157,2005,2005-08-26,1043.0,Lightning,66.0,1059.0,20400.0,G,45.09055556,-114.70361111,ID,59.0,Lemhi,2005
2409,4605,2005,2005-06-12,1300.0,Lightning,78.0,759.0,11611.0,G,34.04666667,-108.87944444,NM,3.0,Catron,2005
2509,4820,2005,2005-07-07,1500.0,Lightning,17.0,1800.0,23183.0,G,31.42277778,-111.33,AZ,23.0,Santa Cruz,2005
2611,5016,2005,2005-08-09,1805.0,Lightning,91.0,1015.0,13327.0,G,46.14833333,-113.79583333,MT,81.0,Ravalli,2005
2916,5597,2005,2005-08-10,1700.0,Lightning,85.0,1055.0,13866.0,G,45.23055556,-115.32055556,ID,49.0,Idaho,2005
3054,5933,2005,2005-07-21,1500.0,Lightning,64.0,1800.0,14772.0,G,42.72361111,-123.93833333,OR,15.0,Curry,2005
6949,12833,2006,2006-07-29,1642.0,Lightning,82.0,1100.0,14000.0,G,45.31583333,-110.86861111,MT,67.0,Park,2006
6962,12849,2006,2006-08-31,1045.0,Lightning,49.0,1030.0,25828.0,G,45.43694444,-110.39888889,MT,67.0,Park,2006
7066,13023,2006,2006-07-26,1900.0,Lightning,25.0,1800.0,10079.0,G,42.68333333,-103.145,NE,45.0,Dawes,2006
7067,13024,2006,2006-07-28,1500.0,Lightning,23.0,1800.0,17899.0,G,42.69111111,-102.96055556,NE,45.0,Dawes,2006
7127,13100,2006,2006-07-13,616.0,Lightning,10.0,2000.0,17552.0,G,45.49111111,-105.97138889,MT,75.0,Powder River,2006
7142,13120,2006,2006-08-20,1920.0,Lightning,7.0,1800.0,22233.6,G,41.42361111,-116.07388889,NV,7.0,Elko,2006
7257,13296,2006,2006-07-27,1320.0,Lightning,53.0,1800.0,18236.0,G,44.32472222,-114.83944444,ID,37.0,Custer,2006
7258,13297,2006,2006-08-07,2015.0,Lightning,98.0,1359.0,11005.0,G,44.49861111,-115.28916667,ID,85.0,Valley,2006
7845,14233,2006,2006-07-24,1703.0,Lightning,86.0,1800.0,15710.0,G,41.315,-123.49666667,CA,23.0,Humboldt,2006
7884,14285,2006,2006-08-22,925.0,Lightning,24.0,1800.0,12946.0,G,45.9475,-116.87888889,OR,63.0,Wallowa,2006
7938,14371,2006,2006-08-20,1711.0,Lightning,78.0,1800.0,43600.0,G,44.30138889,-115.78722222,ID,85.0,Valley,2006
7947,14383,2006,2006-07-24,1710.0,Lightning,45.0,1800.0,16296.0,G,39.66055556,-122.86166667,CA,45.0,Mendocino,2006
8033,14500,2006,2006-07-24,2222.0,Lightning,91.0,1800.0,10770.0,G,41.44888889,-123.2925,CA,93.0,Siskiyou,2006
8541,15308,2006,2006-09-04,1231.0,Lightning,27.0,1800.0,11615.0,G,45.07333333,-117.15277778,OR,1.0,Baker,2006
8554,15330,2006,2006-08-15,600.0,Lightning,4.0,1800.0,19482.0,G,42.13861111,-112.69722222,ID,71.0,Oneida,2006
8918,15920,2006,2006-08-07,1911.0,Lightning,77.0,1442.0,28431.0,G,44.8375,-115.75333333,ID,85.0,Valley,2006
9007,16118,2006,2006-08-22,1000.0,Lightning,66.0,1800.0,33000.0,G,45.47027778,-115.88611111,ID,49.0,Idaho,2006
9178,16476,2006,2006-07-14,1533.0,Lightning,80.0,1200.0,31830.0,G,48.09305556,-90.99527778,MN,31.0,Cook,2006
9366,16866,2006,2006-06-02,1828.0,Lightning,26.0,2359.0,12582.0,G,32.95611111,-108.13027778,NM,17.0,Grant,2006
9467,17120,2006,2006-07-16,1750.0,Lightning,18.0,1800.0,28661.3,G,38.67555556,-112.52527778,UT,27.0,Millard,2006
9560,17289,2006,2006-08-15,2354.0,Lightning,14.0,1800.0,14153.7,G,39.35388889,-112.26833333,UT,27.0,Millard,2006
9708,17626,2006,2006-08-22,1310.0,Lightning,43.0,1630.0,13536.0,G,44.31166667,-119.43472222,OR,23.0,Grant,2006
9712,17651,2006,2006-07-09,833.0,Lightning,62.0,1800.0,24000.0,G,34.34166667,-116.76666667,CA,71.0,San Bernardino,2006
9736,17721,2006,2006-08-05,630.0,Lightning,72.0,800.0,16906.0,G,43.57305556,-110.14055556,WY,39.0,Teton,2006
9749,18194,2006,2006-06-23,1500.0,Lightning,84.0,1800.0,34581.0,G,44.01194444,-109.45833333,WY,29.0,Park,2006
9950,18991,2007,2007-06-22,1130.0,Lightning,38.0,700.0,10131.0,G,33.56361111,-108.45916667,NM,3.0,Catron,2007
11255,21024,2007,2007-07-17,1814.0,Lightning,91.0,1400.0,20159.0,G,44.02277778,-115.35277778,ID,15.0,Boise,2007
11826,21913,2007,2007-08-12,1515.0,Lightning,9.0,1800.0,10733.0,G,45.25194444,-106.23916667,MT,75.0,Powder River,2007
11837,21929,2007,2007-07-05,1804.0,Lightning,16.0,1800.0,22905.81,G,40.12861111,-120.63611111,CA,63.0,Plumas,2007
12818,23373,2007,2007-08-30,1259.0,Lightning,22.0,2000.0,24900.0,G,44.55861111,-116.36277778,ID,3.0,Adams,2007
12894,23538,2007,2007-07-21,1620.0,Lightning,84.0,1600.0,21585.0,G,47.29944444,-113.28083333,MT,29.0,Flathead,2007
12917,23565,2007,2007-08-12,850.0,Lightning,62.0,1600.0,16105.0,G,47.89166667,-113.42222222,MT,29.0,Flathead,2007
13062,23807,2007,2007-07-14,1100.0,Lightning,73.0,1449.0,25907.0,G,45.04305556,-115.285,ID,85.0,Valley,2007
13063,23812,2007,2007-07-21,1230.0,Lightning,66.0,1450.0,14637.0,G,44.91916667,-115.04972222,ID,85.0,Valley,2007
13078,23845,2007,2007-06-17,2102.0,Lightning,100.0,1451.0,47187.0,G,45.405,-114.875,ID,49.0,Idaho,2007
13463,24501,2007,2007-08-09,1800.0,Lightning,61.0,1000.0,26600.0,G,45.23972222,-110.52555556,MT,67.0,Park,2007
13508,24669,2007,2007-07-21,1555.0,Lightning,61.0,1800.0,48143.0,G,44.69305556,-115.84,ID,85.0,Valley,2007
13519,24709,2007,2007-07-31,1239.0,Lightning,47.0,1800.0,29062.0,G,45.74833333,-114.235,MT,81.0,Ravalli,2007
13533,24733,2007,2007-08-09,1800.0,Lightning,25.0,1800.0,18595.0,G,44.4075,-110.20777778,WY,29.0,Park,2007
13578,24803,2007,2007-07-17,1924.0,Lightning,29.0,2100.0,18306.0,G,44.65166667,-115.47194444,ID,85.0,Valley,2007
13601,24835,2007,2007-07-24,1625.0,Lightning,85.0,1500.0,20327.0,G,46.105,-114.835,ID,49.0,Idaho,2007
13701,25049,2007,2007-07-14,1210.0,Lightning,110.0,1200.0,19941.0,G,45.22027778,-114.43805556,ID,59.0,Lemhi,2007
13711,25066,2007,2007-08-02,1300.0,Lightning,91.0,1200.0,19520.0,G,45.27,-114.805,ID,59.0,Lemhi,2007
13744,25214,2007,2007-08-13,1530.0,Lightning,49.0,1800.0,13450.0,G,44.60055556,-107.67083333,WY,3.0,Big Horn,2007
13748,25225,2007,2007-07-06,2153.0,Lightning,42.0,1100.0,23760.0,G,44.38333333,-117.07055556,ID,87.0,Washington,2007
13775,25280,2007,2007-08-05,1900.0,Lightning,-210.0,900.0,11791.0,G,48.16722222,-120.59944444,WA,7.0,Chelan,2007
13841,25414,2007,2007-07-21,1859.0,Lightning,77.0,800.0,46298.0,G,46.86972222,-111.88222222,MT,49.0,Lewis and Clark,2007
13874,25482,2007,2007-06-30,1630.0,Lightning,12.0,1800.0,15000.0,G,33.57027778,-109.38083333,AZ,11.0,Greenlee,2007
13924,25615,2007,2007-07-23,1630.0,Lightning,128.0,1700.0,44176.0,G,48.27138889,-113.39527778,MT,29.0,Flathead,2007
13962,25677,2007,2007-07-07,1230.0,Lightning,50.0,1157.0,31624.7,G,43.855,-119.68166667,OR,25.0,Harney,2007
14009,25782,2007,2007-07-25,1315.0,Lightning,114.0,1000.0,42694.0,G,46.3675,-114.57111111,ID,49.0,Idaho,2007
