Year,Month,STATE,Total_Fires,Total_Fire_Size
1992,1,CA,1,0.1
1992,1,GA,1,6.83
1992,1,NC,1,0.1
1992,1,WY,1,400.0
1992,2,CA,1,0.1
1992,2,FL,3,35.0
1992,2,GA,1,1.74
1992,2,NC,2,2.0
1992,2,NM,2,4.0
1992,2,SD,1,1.0
1992,3,CA,8,1.9000000000000001
1992,3,FL,6,342.0
1992,3,GA,4,61.1
1992,3,KS,1,3.0
1992,3,MO,1,3.0
1992,3,NC,6,34.3
1992,3,ND,1,547.0
1992,3,NM,2,10.1
1992,3,NV,1,1.0
1992,3,OR,11,1.5
1992,3,TN,1,1.0
1992,3,TX,2,6.1
1992,3,WA,2,0.2
1992,3,WV,1,0.3
1992,4,AL,1,40.0
1992,4,AR,1,2.5
1992,4,AZ,7,33.0
1992,4,CA,2,26.0
1992,4,CO,9,2.2
1992,4,FL,16,282.7
1992,4,GA,12,239.96
1992,4,ID,1,100.0
1992,4,KS,1,3.0
1992,4,KY,1,6.0
1992,4,MN,1,5.0
1992,4,MO,11,141.1
1992,4,MS,2,93.0
1992,4,MT,1,0.1
1992,4,NC,13,35.9
1992,4,ND,3,80.0
1992,4,NM,12,7.1
1992,4,NV,2,0.6
1992,4,OR,4,1.7
1992,4,SC,2,117.2
1992,4,SD,4,94.1
1992,4,TN,1,3.0
1992,4,TX,1,0.1
1992,4,UT,1,0.1
1992,4,VA,3,3.2
1992,4,WA,1,0.1
1992,4,WV,3,16.1
1992,4,WY,1,0.5
1992,5,AK,3,14.0
1992,5,AZ,197,874.45
1992,5,CA,307,1533.7
1992,5,CO,60,29.0
1992,5,FL,50,2489.6000000000004
1992,5,GA,18,121.64999999999999
1992,5,ID,13,13.6
1992,5,ME,3,30.1
1992,5,MI,2,22.0
1992,5,MN,3,4.1
1992,5,MS,1,0.5
1992,5,MT,32,4455.6
1992,5,NC,11,410.2
1992,5,ND,2,6.0
1992,5,NE,2,510.0
1992,5,NM,47,74.60000000000001
1992,5,NV,17,14.6
1992,5,NY,3,38.0
1992,5,OR,231,256.86
1992,5,SC,3,105.2
1992,5,SD,21,313.55
1992,5,TX,4,32.4
1992,5,UT,27,6.5
1992,5,VA,1,0.1
1992,5,WA,7,6.9
1992,5,WV,7,30.1
1992,5,WY,16,107.3
1992,6,AK,32,37788.8
1992,6,AZ,198,1975.3
1992,6,CA,818,5889.6
1992,6,CO,195,522.2
1992,6,FL,81,2448.6
1992,6,GA,9,57.15
1992,6,ID,331,20992.9
1992,6,KS,1,0.5
1992,6,ME,13,14.51
1992,6,MI,15,705.9
1992,6,MN,5,15.2
1992,6,MT,210,3057.2
1992,6,NC,3,8.1
1992,6,NE,1,0.1
1992,6,NM,58,39452.9
1992,6,NV,86,5403.6
1992,6,NY,1,3.0
1992,6,OR,644,9422.0
1992,6,SD,12,9.7
1992,6,TX,3,11.1
1992,6,UT,109,162.1
1992,6,WA,203,16340.5
1992,6,WI,12,103.03999999999999
1992,6,WY,36,61.7
1992,7,AK,53,48565.2
1992,7,AZ,293,4140.1
1992,7,CA,421,2568.0
1992,7,CO,203,310.3
1992,7,FL,318,11909.6
1992,7,GA,31,146.15
1992,7,ID,239,13022.900000000001
1992,7,LA,1,5.0
1992,7,MI,1,0.4
1992,7,MN,2,0.11
1992,7,MO,1,1.0
1992,7,MS,3,7.2
1992,7,MT,56,177.2
1992,7,NC,19,1281.7
1992,7,NJ,3,1.0
1992,7,NM,151,2865.2000000000003
1992,7,NV,45,882.7
1992,7,NY,1,1.0
1992,7,OR,764,18797.78
1992,7,SC,1,32.0
1992,7,SD,14,3.1
1992,7,TX,14,3895.2000000000003
1992,7,UT,103,474.9
1992,7,VA,1,0.1
1992,7,WA,156,842.7
1992,7,WI,2,9.81
1992,7,WY,39,535.2
1992,8,AK,10,3118.0
1992,8,AL,1,5.0
1992,8,AR,1,8.0
1992,8,AZ,413,906.55
1992,8,CA,772,16135.6
1992,8,CO,256,1801.0
1992,8,FL,90,711.6
1992,8,GA,22,97.5
1992,8,ID,687,589033.8
1992,8,LA,3,3401.0
1992,8,ME,1,0.1
1992,8,MI,2,22.0
1992,8,MN,2,0.11
1992,8,MT,197,2425.2000000000003
1992,8,NC,8,19.5
1992,8,ND,1,0.2
1992,8,NE,1,0.1
1992,8,NJ,1,0.25
1992,8,NM,105,2470.7999999999997
1992,8,NV,203,67060.1
1992,8,OR,490,6428.76
1992,8,SD,15,14.0
1992,8,TN,1,0.1
1992,8,UT,264,5347.3
1992,8,WA,105,309.4
1992,8,WI,3,0.31
1992,8,WY,85,139.5
1992,9,AR,3,5.2
1992,9,AZ,44,119.8
1992,9,CA,221,342.3
1992,9,CO,51,61.699999999999996
1992,9,FL,40,615.6
1992,9,GA,1,0.03
1992,9,ID,54,9579.0
1992,9,LA,2,110.0
1992,9,MN,2,0.6
1992,9,MT,15,7635.900000000001
1992,9,NC,1,10.0
1992,9,ND,1,9.4
1992,9,NE,2,2.1
1992,9,NM,31,3906.2999999999997
1992,9,NV,28,149.3
1992,9,OR,330,12684.78
1992,9,SD,17,3.9
1992,9,TX,8,419.2
1992,9,UT,45,639.7
1992,9,WA,16,66.0
1992,9,WI,2,0.11
1992,9,WY,21,534.6
1992,10,AR,3,51.1
1992,10,AZ,29,36.7
1992,10,CA,141,248.0
1992,10,CO,13,29.1
1992,10,FL,2,7.199999999999999
1992,10,ID,27,162.1
1992,10,LA,1,25.0
1992,10,MT,5,507.2
1992,10,ND,1,1.0
1992,10,NM,12,338.9
1992,10,NV,8,96.4
1992,10,OR,11,12.299999999999999
1992,10,SD,1,0.3
1992,10,TX,1,1.0
1992,10,UT,5,0.5
1992,10,VA,1,8.0
1992,10,WA,2,0.2
1992,10,WI,1,1.5
1992,10,WV,1,0.1
1992,10,WY,1,0.1
1992,11,AZ,3,5.1
1992,11,CA,4,4.2
1992,11,FL,1,2.0
1992,11,NC,2,1.1
1992,11,TX,1,0.1
1992,12,AZ,1,0.1
1992,12,MO,1,10.0
1993,1,FL,1,0.1
1993,1,OR,1,3.0
1993,2,FL,4,5.6
1993,2,LA,1,2.0
1993,2,MO,2,3.0
1993,2,MS,1,3.0
1993,2,NC,1,1.0
1993,2,TX,1,8.0
1993,3,AL,1,3.0
1993,3,AZ,5,79.1
1993,3,FL,6,43.9
1993,3,GA,2,4.8500000000000005
1993,3,MO,3,14.0
1993,3,NC,2,1.1
1993,3,ND,1,6.5
1993,3,NM,4,1506.1
1993,3,OK,3,1286.5
1993,3,TN,1,20.0
1993,4,AR,1,0.5
1993,4,AZ,1,3.0
1993,4,CO,5,200.3
1993,4,FL,7,5.0
1993,4,GA,1,0.28
1993,4,ID,1,0.2
1993,4,MN,1,1.0
1993,4,MO,1,15.0
1993,4,NC,4,8.0
1993,4,NE,1,2.0
1993,4,NM,15,308.5
1993,4,SC,1,5.0
1993,4,SD,1,6.9
1993,4,TX,1,25.0
1993,4,UT,1,1.5
1993,4,VA,1,0.2
1993,5,AK,1,2410.0
1993,5,AZ,171,6623.0
1993,5,CA,25,28.4
1993,5,CO,58,11.3
1993,5,FL,50,902.0
1993,5,GA,13,46.07
1993,5,ID,22,4.1
1993,5,ME,2,3.5
1993,5,MN,4,91.0
1993,5,MS,1,0.1
1993,5,MT,34,68.7
1993,5,NC,7,91.3
1993,5,ND,1,0.5
1993,5,NH,1,8.5
1993,5,NJ,1,0.25
1993,5,NM,202,98572.6
1993,5,NV,9,17.5
1993,5,NY,4,20.0
1993,5,OR,30,6.94
1993,5,SC,1,0.5
1993,5,SD,7,17.15
1993,5,TX,4,3495.0
1993,5,UT,18,2.2
1993,5,VT,1,3.0
1993,5,WA,29,16.4
1993,5,WI,2,8.0
1993,5,WY,4,2.5
1993,6,AK,139,197885.2
1993,6,AZ,83,49559.2
1993,6,CA,45,19390.899999999998
1993,6,CO,98,537.3000000000001
1993,6,FL,387,4491.5
1993,6,GA,115,6367.4400000000005
1993,6,ID,39,390.29999999999995
1993,6,LA,1,700.0
1993,6,ME,19,12.16
1993,6,MS,1,0.5
1993,6,MT,45,1159.8
1993,6,NC,39,685.3
1993,6,ND,3,11.1
1993,6,NM,182,89779.9
1993,6,NV,38,583.8
1993,6,NY,2,2.1
1993,6,OK,1,3.0
1993,6,OR,56,1412.93
1993,6,SC,2,52.0
1993,6,SD,10,27.4
1993,6,TN,1,0.1
1993,6,TX,2,2.1
1993,6,UT,31,2316.5
1993,6,VA,1,0.1
1993,6,WA,48,12.9
1993,6,WI,1,0.01
1993,6,WY,11,5.4
1993,7,AK,126,483491.9
1993,7,AL,5,118.6
1993,7,AR,2,0.6
1993,7,AZ,96,7266.200000000001
1993,7,CA,28,5.4
1993,7,CO,150,823.9
1993,7,CT,2,4.0
1993,7,FL,352,8593.1
1993,7,GA,316,4532.4
1993,7,ID,31,13.7
1993,7,KY,2,5.0
1993,7,LA,2,3320.0
1993,7,ME,17,13.92
1993,7,MI,1,0.4
1993,7,MN,2,0.11
1993,7,MS,4,15.0
1993,7,MT,14,95.10000000000001
1993,7,NC,131,3928.4
1993,7,NE,2,22.0
1993,7,NJ,3,5.0
1993,7,NM,143,20607.8
1993,7,NV,6,7.2
1993,7,NY,6,8.0
1993,7,OK,1,2.0
1993,7,OR,46,4.59
1993,7,PA,1,0.1
1993,7,SC,9,167.8
1993,7,SD,13,8.6
1993,7,TN,7,58.6
1993,7,TX,11,326.5
1993,7,UT,40,4158.099999999999
1993,7,VA,1,0.1
1993,7,WA,67,584.8
1993,7,WV,1,0.1
1993,7,WY,17,3105.1
1993,8,AK,10,1071.0
1993,8,AL,3,65.6
1993,8,AR,3,56.0
1993,8,AZ,613,22698.35
1993,8,CA,355,9588.7
1993,8,CO,152,1804.5
1993,8,CT,1,3.0
1993,8,FL,337,9188.6
1993,8,GA,60,416.11
1993,8,ID,218,1136.5
1993,8,LA,7,2015.0
1993,8,ME,41,13.2
1993,8,MI,2,3.1
1993,8,MN,1,0.1
1993,8,MO,3,23.0
1993,8,MS,4,54.0
1993,8,MT,60,74.0
1993,8,NC,26,542.1
1993,8,ND,1,0.1
1993,8,NE,2,5.2
1993,8,NH,1,0.68
1993,8,NJ,3,3.5
1993,8,NM,123,417.7
1993,8,NV,145,17270.0
1993,8,NY,4,7.0
1993,8,OK,3,4.2
1993,8,OR,343,3020.8199999999997
1993,8,SC,2,0.4
1993,8,SD,16,12.9
1993,8,TN,1,0.1
1993,8,TX,24,376.2
1993,8,UT,137,1212.7
1993,8,VA,5,239.6
1993,8,WA,45,281.6
1993,8,WI,2,4.56
1993,8,WV,2,0.2
1993,8,WY,35,257.0
1993,9,AZ,36,34.2
1993,9,CA,99,244.3
1993,9,CO,96,20.1
1993,9,FL,65,948.9
1993,9,GA,29,119.06
1993,9,ID,10,41.099999999999994
1993,9,LA,1,12.0
1993,9,ME,4,1.95
1993,9,MS,1,1.0
1993,9,MT,2,0.30000000000000004
