Year,STATE,Total_Fires,Total_Fire_Size
1992,AK,98,89486.0
1992,AL,2,45.0
1992,AR,8,66.8
1992,AZ,1185,8091.1
1992,CA,2696,26749.5
1992,CO,787,2755.5
1992,FL,607,18843.9
1992,GA,99,732.11
1992,ID,1352,632904.3
1992,KS,3,6.5
1992,KY,1,6.0
1992,LA,7,3541.0
1992,ME,17,44.71
1992,MI,20,750.3
1992,MN,15,25.12
1992,MO,14,155.1
1992,MS,6,100.7
1992,MT,516,18258.4
1992,NC,66,1802.8999999999999
1992,ND,9,643.6
1992,NE,6,512.3
1992,NJ,4,1.25
1992,NM,420,49129.9
1992,NV,390,73608.3
1992,NY,5,42.0
1992,OR,2485,47605.68
1992,SC,6,254.4
1992,SD,85,439.65
1992,TN,3,4.1
1992,TX,34,4365.2
1992,UT,554,6631.1
1992,VA,6,11.4
1992,WA,492,17566.0
1992,WI,20,114.77000000000001
1992,WV,12,46.6
1992,WY,200,1778.9
1993,AK,276,684858.1
1993,AL,9,187.2
1993,AR,6,57.1
1993,AZ,1025,86522.34999999999
1993,CA,705,29723.1
1993,CO,564,3398.1
1993,CT,3,7.0
1993,FL,1220,24267.1
1993,GA,538,11493.76
1993,ID,328,1637.3
1993,KY,2,5.0
1993,LA,12,6049.0
1993,ME,83,44.730000000000004
1993,MI,3,3.5
1993,MN,9,92.31
1993,MO,9,55.0
1993,MS,14,86.6
1993,MT,157,1400.0
1993,NC,219,5269.8
1993,ND,6,18.2
1993,NE,7,34.3
1993,NH,2,9.18
1993,NJ,8,9.0
1993,NM,688,211205.8
1993,NV,238,19434.6
1993,NY,17,38.1
1993,OK,9,1296.2
1993,OR,622,4532.63
1993,PA,1,0.1
1993,SC,15,225.7
1993,SD,50,107.1
1993,TN,13,169.0
1993,TX,52,7137.2
1993,UT,335,8388.7
1993,VA,12,241.7
1993,VT,1,3.0
1993,WA,196,896.7
1993,WI,5,12.57
1993,WV,3,0.30000000000000004
1993,WY,77,3443.7999999999997
1994,AK,208,256398.6
1994,AL,14,398.7
1994,AR,12,62.2
1994,AZ,2051,176481.4
1994,CA,1502,143987.1
1994,CO,1592,60100.3
1994,FL,802,42717.0
1994,GA,103,783.7
1994,ID,2055,594213.2000000001
1994,IL,1,5.0
1994,IN,1,0.1
1994,KS,12,131.4
1994,LA,5,107.5
1994,MD,2,2.1
1994,ME,2,1.1
1994,MI,10,8.9
1994,MN,27,193.55
1994,MO,5,38.0
1994,MS,7,13.0
1994,MT,1496,159874.3
1994,NC,97,2544.8
1994,ND,15,510.7
1994,NE,36,865.9
1994,NH,2,7.25
1994,NJ,8,32.25
1994,NM,1125,178042.8
1994,NV,503,153154.5
1994,NY,3,4.0
1994,OK,7,1645.6
1994,OR,2076,212264.79
1994,PA,3,1.7000000000000002
1994,SC,7,12.9
1994,SD,207,6075.85
1994,TX,44,10925.9
1994,UT,931,120356.4
1994,VA,16,101.2
1994,WA,788,224356.5
1994,WI,29,108.08
1994,WV,12,13.9
1994,WY,388,47172.6
1995,AK,63,38208.9
1995,AL,64,823.8
1995,AR,13,216.3
1995,AZ,1426,169882.65
1995,CA,549,15107.5
1995,CO,715,7080.5
1995,CT,1,3.0
1995,FL,461,17401.1
1995,GA,241,1946.7
1995,HI,1,0.1
1995,ID,864,198030.9
1995,KS,11,141.2
1995,KY,3,106.0
1995,LA,8,3107.0
1995,ME,2,1.3
1995,MI,29,322.3
1995,MN,69,5514.14
1995,MO,17,498.0
1995,MS,22,104.4
1995,MT,345,6972.5
1995,NC,55,521.0
1995,ND,2,40.1
1995,NE,31,9467.5
1995,NH,10,16.3
1995,NJ,8,2.75
1995,NM,537,74129.0
1995,NV,280,111685.4
1995,NY,18,56.0
1995,OK,6,24.6
1995,OR,1010,42121.63
1995,SC,13,61.800000000000004
1995,SD,148,1046.26
1995,TN,12,409.9
1995,TX,47,2866.8
1995,UT,545,117812.8
1995,VA,17,165.05
1995,WA,234,1125.3
1995,WI,24,18.15
1995,WV,17,59.3
1995,WY,157,4249.0
1996,AK,142,428014.7
1996,AL,37,1616.8
1996,AR,24,177.3
1996,AZ,1995,98443.81
1996,CA,1414,120921.59999999999
1996,CO,1121,45434.0
1996,FL,447,12833.3
1996,GA,222,1619.34
1996,ID,1195,704724.6
1996,IN,1,0.1
1996,KS,4,3.4
1996,KY,1,0.5
1996,LA,12,762.3
1996,MI,14,641.2
1996,MN,36,8956.89
1996,MO,8,166.1
1996,MS,21,93.1
1996,MT,810,75876.1
1996,NC,49,1427.6999999999998
1996,ND,8,338.7
1996,NE,19,180.4
1996,NH,7,7.4
1996,NJ,2,0.5
1996,NM,790,46887.6
1996,NV,777,574020.9
1996,NY,1,1.0
1996,OK,20,87.0
1996,OR,1688,427515.55
1996,SC,4,28.5
1996,SD,167,6257.86
